sample	samples	TP53 (average)
TCGA-5P-A9K6-01	TCGA-5P-A9K6-01	0.2975
TCGA-24-1558-01	TCGA-24-1558-01	0.2973
TCGA-A4-A5XZ-01	TCGA-A4-A5XZ-01	0.2965
TCGA-B9-7268-01	TCGA-B9-7268-01	0.2965
TCGA-A4-7584-01	TCGA-A4-7584-01	0.2961
TCGA-06-0195-01	TCGA-06-0195-01	0.2957
TCGA-2G-AAGC-01	TCGA-2G-AAGC-01	0.2954
TCGA-85-7950-01	TCGA-85-7950-01	0.2952
TCGA-JY-A93C-01	TCGA-JY-A93C-01	0.2943
TCGA-EM-A3AI-01	TCGA-EM-A3AI-01	0.2927
TCGA-HE-A5NL-01	TCGA-HE-A5NL-01	0.2927
TCGA-DJ-A2Q0-01	TCGA-DJ-A2Q0-01	0.2923
TCGA-77-A5GF-01	TCGA-77-A5GF-01	0.2921
TCGA-24-2254-01	TCGA-24-2254-01	0.292
TCGA-38-4628-01	TCGA-38-4628-01	0.2916
TCGA-NC-A5HH-01	TCGA-NC-A5HH-01	0.2913
TCGA-DA-A1IA-06	TCGA-DA-A1IA-06	0.2892
TCGA-G3-AAV6-01	TCGA-G3-AAV6-01	0.2886
TCGA-EL-A3ZR-01	TCGA-EL-A3ZR-01	0.2884
TCGA-A7-A4SE-01	TCGA-A7-A4SE-01	0.2871
TCGA-E1-A7YD-01	TCGA-E1-A7YD-01	0.2865
TCGA-SX-A7SS-01	TCGA-SX-A7SS-01	0.2858
TCGA-2Z-A9JM-01	TCGA-2Z-A9JM-01	0.285
TCGA-B3-A6W5-01	TCGA-B3-A6W5-01	0.283
TCGA-EY-A1GO-01	TCGA-EY-A1GO-01	0.2827
TCGA-DW-7841-01	TCGA-DW-7841-01	0.2826
TCGA-13-0913-01	TCGA-13-0913-01	0.2822
TCGA-YZ-A984-01	TCGA-YZ-A984-01	0.2812
TCGA-D3-A3C6-06	TCGA-D3-A3C6-06	0.2801
TCGA-2Z-A9J5-01	TCGA-2Z-A9J5-01	0.2795
TCGA-2Z-A9JT-01	TCGA-2Z-A9JT-01	0.2793
TCGA-61-2097-01	TCGA-61-2097-01	0.2788
TCGA-57-1586-01	TCGA-57-1586-01	0.2785
TCGA-2F-A9KO-01	TCGA-2F-A9KO-01	0.2782
TCGA-EE-A2GM-06	TCGA-EE-A2GM-06	0.2779
TCGA-HN-A2NL-01	TCGA-HN-A2NL-01	0.2768
TCGA-78-7220-01	TCGA-78-7220-01	0.2766
TCGA-IA-A83T-01	TCGA-IA-A83T-01	0.2761
TCGA-MH-A55W-01	TCGA-MH-A55W-01	0.2755
TCGA-D1-A1O0-01	TCGA-D1-A1O0-01	0.2754
TCGA-JX-A5QV-01	TCGA-JX-A5QV-01	0.2752
TCGA-B9-5156-01	TCGA-B9-5156-01	0.2745
TCGA-EE-A3AG-06	TCGA-EE-A3AG-06	0.2735
TCGA-XF-A9T0-01	TCGA-XF-A9T0-01	0.2735
TCGA-CG-5718-01	TCGA-CG-5718-01	0.2713
TCGA-UZ-A9PM-01	TCGA-UZ-A9PM-01	0.2711
TCGA-SX-A71V-01	TCGA-SX-A71V-01	0.2702
TCGA-B8-4621-01	TCGA-B8-4621-01	0.2687
TCGA-CC-A9FW-01	TCGA-CC-A9FW-01	0.2656
TCGA-GL-7966-01	TCGA-GL-7966-01	0.2651
TCGA-25-2404-01	TCGA-25-2404-01	0.264
TCGA-33-AASD-01	TCGA-33-AASD-01	0.2629
TCGA-EY-A1GP-01	TCGA-EY-A1GP-01	0.2628
TCGA-IA-A83V-01	TCGA-IA-A83V-01	0.2624
TCGA-EE-A3JA-06	TCGA-EE-A3JA-06	0.2623
TCGA-2G-AAM4-01	TCGA-2G-AAM4-01	0.2614
TCGA-13-2057-01	TCGA-13-2057-01	0.2608
TCGA-W5-AA2X-01	TCGA-W5-AA2X-01	0.2603
TCGA-23-2077-01	TCGA-23-2077-01	0.26
TCGA-35-5375-01	TCGA-35-5375-01	0.2599
TCGA-LL-A5YN-01	TCGA-LL-A5YN-01	0.2597
TCGA-85-8277-01	TCGA-85-8277-01	0.2593
TCGA-CF-A3MF-01	TCGA-CF-A3MF-01	0.2591
TCGA-W3-A825-06	TCGA-W3-A825-06	0.2586
TCGA-2G-AALR-01	TCGA-2G-AALR-01	0.2577
TCGA-13-2060-01	TCGA-13-2060-01	0.257
TCGA-EE-A29D-06	TCGA-EE-A29D-06	0.2569
TCGA-06-0173-01	TCGA-06-0173-01	0.2557
TCGA-E1-A7YS-01	TCGA-E1-A7YS-01	0.2555
